decision_month,decision_date,ranking_window,rank,Ticker,momentum_3m,momentum_4m,momentum_5m,momentum_6m,momentum_7m
2026-03,2026-03-02,6,1,MU,0.716862309202404,0.7589976621860464,1.2678853380659616,2.4866244790225775,2.938741948845895
2026-03,2026-03-02,6,2,WDC,0.652789169248067,0.7105247149598073,1.069815033110591,2.303769501560274,2.5350983826022513
2026-03,2026-03-02,6,3,WBD,0.1939672810214823,0.2786002166624737,0.4728681880178489,1.4526678382689808,1.2144522341432746
2026-03,2026-03-02,6,4,LRCX,0.49480140433657027,0.4350053221314054,0.6204236336049973,1.3893351284116688,1.4056986670392222
2026-03,2026-03-02,6,5,AMAT,0.4627837723733512,0.5707148124903043,0.7147727753461428,1.3695793870584718,1.0803639716192865
2026-03,2026-03-02,6,6,STX,0.40879546841583614,0.4329342333378734,0.48152817837546946,1.2387981913900319,1.4657003834963023
2026-03,2026-03-02,6,7,ASML,0.3101386067536367,0.3361370696836725,0.42329242445295545,0.9672751531980117,1.070027710726134
2026-03,2026-03-02,6,8,INTC,0.13721574378352575,0.1518987341772151,0.26599893540859676,0.8793887534337792,1.3562921418123133
2026-03,2026-03-02,6,9,KLAC,0.32818094817442,0.26279440928346287,0.36377361978942346,0.8190147640456782,0.740135443605608
2026-03,2026-03-02,6,10,GOOGL,-0.025944131610994625,0.08106753666591149,0.25243157504133973,0.45254232084955603,0.6231946674498654
2026-02,2026-02-02,4,1,MU,0.8661136440844992,1.4059905613089168,2.6989460827463367,3.1785957135012284,2.6286180629812885
2026-02,2026-02-02,4,2,WDC,0.7114750020623726,1.0709649250200495,2.305604920551724,2.5370623170428974,3.2412612118494843
2026-02,2026-02-02,4,3,STX,0.6346673345906928,0.6901024918810721,1.5539834188210677,1.812829633081122,2.0023041645617417
2026-02,2026-02-02,4,4,LRCX,0.4753842875181773,0.6660200009523038,1.4565675483613267,1.473391533197446,1.4621500551657673
2026-02,2026-02-02,4,5,AMAT,0.3842233354941682,0.5111772498923204,1.0882384611067333,0.8333616853533805,0.795748710079593
2026-02,2026-02-02,4,6,AMD,-0.05153086824010367,0.5015548595862942,0.517188227946294,0.4343040690134512,0.8093454056874889
2026-02,2026-02-02,4,7,ASML,0.3511089574921158,0.43924091879610083,0.9893191661591907,1.093223102388082,0.8313282789475593
2026-02,2026-02-02,4,8,WBD,0.23463433501221087,0.42222221784128955,1.3683305274352486,1.1383061928883755,1.5155394436312641
2026-02,2026-02-02,4,9,GOOG,0.21471567716678486,0.40557563621442516,0.629480031570548,0.8185496695591987,0.9525944253250227
2026-02,2026-02-02,4,10,GOOGL,0.21216276015537416,0.4043071902704036,0.6286842858251653,0.8200307211459303,0.9575889725828792
2026-02,2026-02-02,5,1,MU,0.8661136440844992,1.4059905613089168,2.6989460827463367,3.1785957135012284,2.6286180629812885
2026-02,2026-02-02,5,2,WDC,0.7114750020623726,1.0709649250200495,2.305604920551724,2.5370623170428974,3.2412612118494843
2026-02,2026-02-02,5,3,STX,0.6346673345906928,0.6901024918810721,1.5539834188210677,1.812829633081122,2.0023041645617417
2026-02,2026-02-02,5,4,LRCX,0.4753842875181773,0.6660200009523038,1.4565675483613267,1.473391533197446,1.4621500551657673
2026-02,2026-02-02,5,5,WBD,0.23463433501221087,0.42222221784128955,1.3683305274352486,1.1383061928883755,1.5155394436312641
2026-02,2026-02-02,5,6,AMAT,0.3842233354941682,0.5111772498923204,1.0882384611067333,0.8333616853533805,0.795748710079593
2026-02,2026-02-02,5,7,INTC,0.23569623729850675,0.3580969181511773,1.0161091788142955,1.5277059929172272,1.1361050572617768
2026-02,2026-02-02,5,8,ASML,0.3511089574921158,0.43924091879610083,0.9893191661591907,1.093223102388082,0.8313282789475593
2026-02,2026-02-02,5,9,KLAC,0.1588633169167284,0.25153168950872495,0.669305365533408,0.5969180075839966,0.5752253061495762
2026-02,2026-02-02,5,10,GOOG,0.21471567716678486,0.40557563621442516,0.629480031570548,0.8185496695591987,0.9525944253250227
2026-02,2026-02-02,6,1,MU,0.8661136440844992,1.4059905613089168,2.6989460827463367,3.1785957135012284,2.6286180629812885
2026-02,2026-02-02,6,2,WDC,0.7114750020623726,1.0709649250200495,2.305604920551724,2.5370623170428974,3.2412612118494843
2026-02,2026-02-02,6,3,STX,0.6346673345906928,0.6901024918810721,1.5539834188210677,1.812829633081122,2.0023041645617417
2026-02,2026-02-02,6,4,INTC,0.23569623729850675,0.3580969181511773,1.0161091788142955,1.5277059929172272,1.1361050572617768
2026-02,2026-02-02,6,5,LRCX,0.4753842875181773,0.6660200009523038,1.4565675483613267,1.473391533197446,1.4621500551657673
2026-02,2026-02-02,6,6,WBD,0.23463433501221087,0.42222221784128955,1.3683305274352486,1.1383061928883755,1.5155394436312641
2026-02,2026-02-02,6,7,ASML,0.3511089574921158,0.43924091879610083,0.9893191661591907,1.093223102388082,0.8313282789475593
2026-02,2026-02-02,6,8,AMAT,0.3842233354941682,0.5111772498923204,1.0882384611067333,0.8333616853533805,0.795748710079593
2026-02,2026-02-02,6,9,GOOGL,0.21216276015537416,0.4043071902704036,0.6286842858251653,0.8200307211459303,0.9575889725828792
2026-02,2026-02-02,6,10,GOOG,0.21471567716678486,0.40557563621442516,0.629480031570548,0.8185496695591987,0.9525944253250227
2026-01,2026-01-02,4,1,MU,0.7334344511805075,1.6649649736794756,2.010536235602554,1.6142960249709999,2.219008375188504
2026-01,2026-01-02,4,2,WBD,0.47338499570181236,1.4535284431726239,1.2152292527113215,1.6060330276432189,1.8510000228881838
2026-01,2026-01-02,4,3,WDC,0.43847861787345854,1.2960514395505336,1.4568202250469802,1.9459521464384486,2.610270488686237
2026-01,2026-01-02,4,4,LRCX,0.2981628688193019,0.9141575576561385,0.9272668074894808,0.9185074472398849,1.2574302330243556
2026-01,2026-01-02,4,5,AMAT,0.2372419058302293,0.70969761067524,0.5010230638559225,0.47022829824189394,0.717868302405376
2026-01,2026-01-02,4,6,STX,0.12246695593635537,0.6962060037230784,0.8681164787219982,0.9939543504488235,1.4401075927779519
2026-01,2026-01-02,4,7,INTC,0.09571515227743488,0.6266006839038678,1.0393579573925367,0.723413584712697,0.9949342211104073
2026-01,2026-01-02,4,8,ASML,0.1620448878903582,0.6061787413265562,0.6900709072243039,0.47861670468635964,0.5656464330551207
2026-01,2026-01-02,4,9,KLAC,0.13087272077426992,0.508369237749686,0.4429606754894324,0.42335934657564644,0.6780159601863465
2026-01,2026-01-02,4,10,GOOGL,0.28769359582440823,0.49343842928916737,0.6688954667902955,0.7950308883386645,0.8696108525560693
2026-01,2026-01-02,5,1,MU,0.7334344511805075,1.6649649736794756,2.010536235602554,1.6142960249709999,2.219008375188504
2026-01,2026-01-02,5,2,WDC,0.43847861787345854,1.2960514395505336,1.4568202250469802,1.9459521464384486,2.610270488686237
2026-01,2026-01-02,5,3,WBD,0.47338499570181236,1.4535284431726239,1.2152292527113215,1.6060330276432189,1.8510000228881838
2026-01,2026-01-02,5,4,INTC,0.09571515227743488,0.6266006839038678,1.0393579573925367,0.723413584712697,0.9949342211104073
2026-01,2026-01-02,5,5,LRCX,0.2981628688193019,0.9141575576561385,0.9272668074894808,0.9185074472398849,1.2574302330243556
2026-01,2026-01-02,5,6,STX,0.12246695593635537,0.6962060037230784,0.8681164787219982,0.9939543504488235,1.4401075927779519
2026-01,2026-01-02,5,7,ASML,0.1620448878903582,0.6061787413265562,0.6900709072243039,0.47861670468635964,0.5656464330551207
2026-01,2026-01-02,5,8,GOOGL,0.28769359582440823,0.49343842928916737,0.6688954667902955,0.7950308883386645,0.8696108525560693
2026-01,2026-01-02,5,9,GOOG,0.2850279230123103,0.48972939385789105,0.6625836735917077,0.7851322221396646,0.8558863417045488
2026-01,2026-01-02,5,10,APP,-0.1218168362848524,0.2835405584514583,0.6307196915034099,0.8364667879671426,0.5384538869155591
2026-01,2026-01-02,6,1,WDC,0.43847861787345854,1.2960514395505336,1.4568202250469802,1.9459521464384486,2.610270488686237
2026-01,2026-01-02,6,2,MU,0.7334344511805075,1.6649649736794756,2.010536235602554,1.6142960249709999,2.219008375188504
2026-01,2026-01-02,6,3,WBD,0.47338499570181236,1.4535284431726239,1.2152292527113215,1.6060330276432189,1.8510000228881838
2026-01,2026-01-02,6,4,STX,0.12246695593635537,0.6962060037230784,0.8681164787219982,0.9939543504488235,1.4401075927779519
2026-01,2026-01-02,6,5,LRCX,0.2981628688193019,0.9141575576561385,0.9272668074894808,0.9185074472398849,1.2574302330243556
2026-01,2026-01-02,6,6,APP,-0.1218168362848524,0.2835405584514583,0.6307196915034099,0.8364667879671426,0.5384538869155591
2026-01,2026-01-02,6,7,INSM,0.20260725546723202,0.21899512317350034,0.6295886570862048,0.8143821976422652,1.4709820642174054
2026-01,2026-01-02,6,8,GOOGL,0.28769359582440823,0.49343842928916737,0.6688954667902955,0.7950308883386645,0.8696108525560693
